""	"ARID2_1"	"ARID2_2"	"ARID2_3"	"ARID2_4"	"Control_1"	"Control_2"	"Control_3"	"Control_4"
"ENSG00000108679"	13912,1495772153	12629,9361377017	12615,4418887128	23345,1646278516	28720,9578480007	28532,6896663354	27709,7371184964	47166,9670871503
"ENSG00000108828"	29146,50344926	25428,2072962792	25228,8342634179	22675,081914491	22673,1130183989	23211,7069513889	22297,7148283889	19660,229291452
"ENSG00000111405"	8,00123627733444	13,6271207375558	10,9307413743856	10,7730339768581	2,16174603703152	0	1,82993145903889	2,74737692725712
"ENSG00000111728"	7,00108174266763	8,01595337503283	2,7326853435964	2,15460679537163	7,20582012343839	14,2534276643469	9,14965729519446	6,86844231814281
"ENSG00000111962"	901,139235734791	870,532536528566	970,786468312623	1687,05712077599	1287,68005605844	1300,62527437165	1228,79897474462	2222,62793415101
"ENSG00000112280"	0	0	0	0	11,5293121975014	6,23587460315175	5,48979437711667	5,49475385451425
"ENSG00000112697"	7112,09889601565	8027,17570975788	8620,25591637486	4548,37494502951	7883,16721504159	8067,44005802033	8425,91940314457	4600,48266469205
"ENSG00000114125"	6523,0078750969	6014,36981728713	5914,21425487852	4604,39472170917	6189,07890402123	6055,03423966035	6161,37922258395	5184,30026173419
"ENSG00000115091"	26594,1090767903	26333,2084323204	27331,6356353153	27430,2991118762	21885,5168789071	21354,3071588787	23424,9526071568	22369,1429417275
"ENSG00000115241"	31408,8530066763	26952,8416282104	27476,467958526	28063,7535097155	25332,0606439476	24833,9251874374	26255,85657429	22887,0234925155
"ENSG00000115414"	13107,0251768085	14639,5356488225	14914,3134340133	37201,4409288865	56921,6554830892	58395,4023016001	56712,3208128038	123638,830168889
"ENSG00000115484"	52648,1347048606	50522,1493368194	49902,2502307499	47233,2901681369	42887,6002106806	41592,3927637932	43214,7463709329	38206,3972389012
"ENSG00000115806"	10887,6822643828	10252,404366667	10197,6985309659	13528,7760681385	10031,2221938386	10060,2474133418	10380,2862013981	11103,5238515097
"ENSG00000117115"	171,026425428024	223,645099163416	241,842652908282	277,94427660294	372,540900381765	394,641778456604	375,135949102973	412,106539088568
"ENSG00000117477"	20,0030906933361	8,01595337503283	29,3763674436614	60,3289902704056	112,410793925639	114,918260543797	112,540784730892	101,652946308514
"ENSG00000117724"	33800,2224990647	32778,0349458468	35127,9869205959	30035,2187274805	27040,5605952149	26126,5329087478	28457,2641195138	26201,7337552512
"ENSG00000118473"	6,00092720800083	11,222334725046	4,09902801539461	4,30921359074326	5,76465609875071	1,78167845804336	0	2,74737692725712
"ENSG00000118849"	987,152525716136	1033,25639004173	973,519153656219	1266,90879567852	830,110478220102	750,977470065275	888,431723363381	1891,56901441653
"ENSG00000119335"	36185,591064245	35459,3713497952	33683,7627165052	30433,8209846243	25947,4376824893	24653,975663175	27660,3289691024	22590,3067843717
"ENSG00000120055"	216,03337948803	209,216383088357	213,14945680052	200,378431969562	222,659841814246	195,984630384769	191,227837469564	243,142858062255
