""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000111405"	6,25889834868269	-2,74504577107252	0,72998363886353	-3,76042095319578	0,00016962767072254	0,000767122152670593
"ENSG00000111728"	7,17270933222388	0,854863604267599	0,605702440923193	1,41135902137796	0,158138779496058	0,299475313670661
"ENSG00000111962"	1308,65595008471	0,449264856793613	0,296074843281321	1,51740300464074	0,129164965802542	0,25249667508497
"ENSG00000112280"	3,59371687903551	5,24813866832837	1,24454161209641	4,21692502469883	2,47656271073084e-05	0,000187599625337861
"ENSG00000112697"	7160,61435100956	0,0334629007463543	0,267090348227439	0,125286821363755	0,900296485002971	0,999590581734975
"ENSG00000114125"	5830,72241212143	0,03237163572519	0,135311667474462	0,239237578912399	0,810921364788848	0,994773981906967
"ENSG00000115091"	24590,3964803715	-0,274374464469169	0,0501444261192298	-5,47168420706981	4,45778658821109e-08	1,03900718171382e-06
"ENSG00000115241"	26651,3477501648	-0,197700305751855	0,0829600201980457	-2,38307928662381	0,0171684961569141	0,0412861455201982
"ENSG00000115414"	46941,3154943641	1,88850464700296	0,417463984701297	4,52375466198411	6,07521423367618e-06	6,57424968858529e-05
"ENSG00000115484"	45775,8701281093	-0,271902622215059	0,0697461128456094	-3,89846274038161	9,68052924049543e-05	0,000505724199977606
"ENSG00000115806"	10805,2301112803	-0,10934111927565	0,118564196180065	-0,922210269191148	0,356418907591306	0,596657066299257
"ENSG00000117115"	308,610452641571	0,776577638331153	0,158244633653421	4,90745006893551	9,22681348018268e-07	1,4078748627314e-05
"ENSG00000117477"	69,9058984114096	1,97358328928736	0,487645058267421	4,04717172014293	5,18402111863732e-05	0,000334203914669597
"ENSG00000117724"	29945,9443089644	-0,289224392865782	0,0738477970773811	-3,91649316990078	8,98463600516493e-05	0,00049497176537545
"ENSG00000118473"	4,49065187790448	-1,3070481383084	0,890429140366455	-1,46788562846279	0,142135292599863	0,275579552626912
"ENSG00000118849"	1077,74069389474	0,0330770673124551	0,312746633247353	0,105763144335096	0,915770279290294	0,999590581734975
"ENSG00000119335"	29576,8244017885	-0,428905811127769	0,0995477430652995	-4,30854379939506	1,643329360005e-05	0,000132635939989071
"ENSG00000120055"	211,474102384663	0,0133461837981166	0,124088768590817	0,107553519546364	0,914349869054199	0,999590581734975
"ENSG00000120129"	21072,3931936878	0,0177012655447632	0,521142353536856	0,0339662770155397	0,972904042218594	0,999590581734975
"ENSG00000120910"	1314,36885998348	-0,00949046801384675	0,153610054843958	-0,0617828567504092	0,950735755735194	0,999590581734975
"ENSG00000121716"	5760,88051161421	0,0140942025961171	0,0882550354569192	0,159698565902192	0,873118530648138	0,999590581734975
"ENSG00000121871"	0,749670946364181	-1,05503100995288	2,02938147093576	-0,519878113140747	0,603148531101706	0,871981201517407
"ENSG00000121895"	4249,72709620582	0,0365183536150279	0,072806140741706	0,501583427482907	0,615960579329385	0,884531068894804
"ENSG00000122733"	3,34659823971574	-0,32569774165303	1,21224687512634	-0,268672783024568	0,788181497901703	0,989486941865718
"ENSG00000124920"	24087,4149905963	0,25271711939646	0,080012669336429	3,15846379695022	0,00158603007379303	0,00480567112359288
"ENSG00000126777"	43065,6396180936	-0,225069299444875	0,0709887332825164	-3,17049324643051	0,0015218037031369	0,00465764163687354
"ENSG00000127054"	7052,28807478489	-0,0687891684188499	0,160578395357747	-0,428383707942759	0,668371784151321	0,928975461458029
"ENSG00000127152"	382,346387004294	-0,0558671230558994	0,337431574003841	-0,16556578388027	0,868498676101014	0,999590581734975
