geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,type,properties/co_F_level,properties/pm1_F_level,properties/pm1_level,properties/no2_F,properties/no2,properties/co_level,properties/last_measure,properties/pm1_F,properties/co,properties/o3_F,properties/count_SMAQ,properties/o3_level,properties/pm25,properties/pm1,properties/pm10_F_level,properties/iuca.level_F_global,properties/pm25_F_level,properties/count_F,properties/pm25_F,properties/no2_F_level,properties/count,properties/iuca.level_global,properties/pm10_level,properties/co_F,properties/pm10,properties/o3,properties/pm10_F,properties/o3_F_level,properties/no2_level,properties/pm25_level,properties/no2_M_level,properties/resp_APP_level,properties/iuca.level_APP_global,properties/no2_M,properties/pm25_M_level,properties/o3_M_level,properties/co_M_level,properties/pm1_M,properties/count_APP,properties/iaq_APP_level,properties/pm10_APP_level,properties/pm10_M,properties/iuca.level_M_global,properties/o3_M,properties/pm25_M,properties/count_M,properties/pm10_M_level,properties/pm1_M_level,properties/co_M,properties/co_APP_level
Polygon,-4.354705810546875,36.822052001953125,-4.354705810546875,36.82342529296875,-4.35333251953125,36.82342529296875,-4.35333251953125,36.822052001953125,-4.354705810546875,36.822052001953125,Feature,,,,,,,2018-01-08T17:00:11+00:00,,,,,,,,,,,,,,183,good,,,,,,,,,,good,good,,,,,,183,good,good,,,,,,,,,good
Polygon,-4.36981201171875,36.720428466796875,-4.36981201171875,36.7218017578125,-4.368438720703125,36.7218017578125,-4.368438720703125,36.720428466796875,-4.36981201171875,36.720428466796875,Feature,,,,,,,2018-02-14T06:23:11+00:00,,,,,,,,,,,,,,180,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,180,good,good,,,,,,,,,good
Polygon,-4.434356689453125,36.714935302734375,-4.434356689453125,36.71630859375,-4.4329833984375,36.71630859375,-4.4329833984375,36.714935302734375,-4.434356689453125,36.714935302734375,Feature,,,unhealthy-low,,1,good,2018-09-19T16:52:00+00:00,,102,,7,good,10,7,,,,,,,180,moderate,good,,11,0,,,good,moderate,good,good,good,1,moderate,good,good,7,173,good,good,11,moderate,0,10,7,good,unhealthy-low,102,good
Polygon,-4.4439697265625,36.701202392578125,-4.4439697265625,36.70257568359375,-4.442596435546875,36.70257568359375,-4.442596435546875,36.701202392578125,-4.4439697265625,36.701202392578125,Feature,,,unhealthy-low,,9,good,2018-11-06T09:28:23+00:00,,135,,163,good,15,9,,,,,,,179,unhealthy-low,moderate,,18,1,,,good,unhealthy-low,good,good,good,9,unhealthy-low,good,good,9,16,good,good,18,unhealthy-low,1,15,163,moderate,unhealthy-low,135,good
Polygon,-4.44671630859375,36.701202392578125,-4.44671630859375,36.70257568359375,-4.445343017578125,36.70257568359375,-4.445343017578125,36.701202392578125,-4.44671630859375,36.701202392578125,Feature,,,unhealthy-high,,7,good,2018-09-19T17:14:40+00:00,,282,,161,good,37,25,,,,,,,179,unhealthy,unhealthy-low,,44,2,,,good,unhealthy,good,good,good,7,unhealthy,good,good,25,18,good,good,44,unhealthy,2,37,161,unhealthy-low,unhealthy-high,282,good
Polygon,-4.43572998046875,36.71630859375,-4.43572998046875,36.717681884765625,-4.434356689453125,36.717681884765625,-4.434356689453125,36.71630859375,-4.43572998046875,36.71630859375,Feature,,,unhealthy-high,,0,good,2018-11-14T07:24:14+00:00,,1,,2,good,27,19,,,,,,,177,unhealthy,unhealthy-low,,30,0,,,good,unhealthy,good,unhealthy-low,unhealthy-low,0,unhealthy,good,good,19,175,good,good,30,unhealthy,0,27,2,unhealthy-low,unhealthy-high,1,good
Polygon,-4.431610107421875,36.714935302734375,-4.431610107421875,36.71630859375,-4.43023681640625,36.71630859375,-4.43023681640625,36.714935302734375,-4.431610107421875,36.714935302734375,Feature,,,,,,,2018-02-14T05:43:26+00:00,,,,,,,,,,,,,,175,good,,,,,,,,,,good,good,,,,,,175,good,good,,,,,,,,,good
Polygon,-4.41650390625,36.720428466796875,-4.41650390625,36.7218017578125,-4.415130615234375,36.7218017578125,-4.415130615234375,36.720428466796875,-4.41650390625,36.720428466796875,Feature,,,,,,,2018-07-05T05:35:43+00:00,,,,,,,,,,,,,,174,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,174,good,good,,,,,,,,,good
Polygon,-4.44671630859375,36.6998291015625,-4.44671630859375,36.701202392578125,-4.445343017578125,36.701202392578125,-4.445343017578125,36.6998291015625,-4.44671630859375,36.6998291015625,Feature,,,unhealthy-low,,4,good,2018-11-06T09:27:44+00:00,,60,,173,good,14,9,,,,,,,174,moderate,moderate,,16,1,,,good,moderate,good,good,good,4,moderate,good,good,9,1,good,good,16,moderate,1,14,173,moderate,unhealthy-low,60,good
Polygon,-4.461822509765625,36.720428466796875,-4.461822509765625,36.7218017578125,-4.46044921875,36.7218017578125,-4.46044921875,36.720428466796875,-4.461822509765625,36.720428466796875,Feature,,,unhealthy-high,,4,good,2018-01-25T13:06:32+00:00,,34,,173,good,21,16,,,,,,,173,unhealthy-low,moderate,,23,1,,,good,unhealthy-low,good,,,4,unhealthy-low,good,good,16,,,,23,unhealthy-low,1,21,173,moderate,unhealthy-high,34,
Polygon,-4.362945556640625,36.7218017578125,-4.362945556640625,36.723175048828125,-4.361572265625,36.723175048828125,-4.361572265625,36.7218017578125,-4.362945556640625,36.7218017578125,Feature,,,,,,,2018-01-31T05:20:48+00:00,,,,,,,,,,,,,,172,good,,,,,,,,,,good,good,,,,,,172,good,good,,,,,,,,,good
Polygon,-4.43023681640625,36.720428466796875,-4.43023681640625,36.7218017578125,-4.428863525390625,36.7218017578125,-4.428863525390625,36.720428466796875,-4.43023681640625,36.720428466796875,Feature,,,moderate,,0,good,2018-11-14T15:22:37+00:00,,386,,9,good,4,3,,,,,,,172,good,good,,5,0,,,good,good,good,good,moderate,0,good,good,good,3,163,moderate,good,5,good,0,4,9,good,moderate,386,moderate
Polygon,-4.43023681640625,36.712188720703125,-4.43023681640625,36.71356201171875,-4.428863525390625,36.71356201171875,-4.428863525390625,36.712188720703125,-4.43023681640625,36.712188720703125,Feature,,,unhealthy,,8,good,2018-04-27T09:11:56+00:00,,258,,171,good,16,10,,,,,,,171,unhealthy-low,moderate,,19,1,,,good,unhealthy-low,good,,,8,unhealthy-low,good,good,10,,,,19,unhealthy-low,1,16,171,moderate,unhealthy,258,
Polygon,-4.4439697265625,36.705322265625,-4.4439697265625,36.706695556640625,-4.442596435546875,36.706695556640625,-4.442596435546875,36.705322265625,-4.4439697265625,36.705322265625,Feature,,,moderate,,4,good,2018-04-27T06:47:14+00:00,,11,,3,good,8,5,,,,,,,169,good,good,,11,0,,,good,good,good,good,moderate,4,good,good,good,5,166,moderate,good,11,good,0,8,3,good,moderate,11,good
Polygon,-4.42474365234375,36.7327880859375,-4.42474365234375,36.734161376953125,-4.423370361328125,36.734161376953125,-4.423370361328125,36.7327880859375,-4.42474365234375,36.7327880859375,Feature,good,unhealthy-high,unhealthy-high,62,55,good,2018-12-17T02:33:38+00:00,100,1831,1,31,good,593,86,unhealthy-high,unhealthy-high,unhealthy-high,26,703,good,168,unhealthy-high,unhealthy-high,2103,91,3,103,good,good,unhealthy-high,good,good,good,16,unhealthy-low,good,good,15,137,good,good,25,unhealthy-low,14,22,5,moderate,unhealthy-high,420,good
Polygon,-4.478302001953125,36.71356201171875,-4.478302001953125,36.714935302734375,-4.4769287109375,36.714935302734375,-4.4769287109375,36.71356201171875,-4.478302001953125,36.71356201171875,Feature,,,,,,,2018-02-16T11:54:00+00:00,,,,,,,,,,,,,,168,good,,,,,,,,,,good,good,,,,,,168,good,good,,,,,,,,,good
Polygon,-4.45770263671875,36.69158935546875,-4.45770263671875,36.692962646484375,-4.456329345703125,36.692962646484375,-4.456329345703125,36.69158935546875,-4.45770263671875,36.69158935546875,Feature,,,unhealthy-low,,1,good,2018-01-19T12:28:25+00:00,,700,,165,good,10,6,,,,,,,165,moderate,good,,12,0,,,good,moderate,good,,,1,moderate,good,good,6,,,,12,moderate,0,10,165,good,unhealthy-low,700,
Polygon,-4.417877197265625,36.720428466796875,-4.417877197265625,36.7218017578125,-4.41650390625,36.7218017578125,-4.41650390625,36.720428466796875,-4.417877197265625,36.720428466796875,Feature,,,,,,,2018-09-19T17:25:52+00:00,,,,,,,,,,,,,,163,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,163,good,good,,,,,,,,,good
Polygon,-4.461822509765625,36.717681884765625,-4.461822509765625,36.71905517578125,-4.46044921875,36.71905517578125,-4.46044921875,36.717681884765625,-4.461822509765625,36.717681884765625,Feature,,,,,,,2018-02-16T11:59:39+00:00,,,,,,,,,,,,,,162,good,,,,,,,,,,good,good,,,,,,162,good,good,,,,,,,,,good
Polygon,-4.362945556640625,36.720428466796875,-4.362945556640625,36.7218017578125,-4.361572265625,36.7218017578125,-4.361572265625,36.720428466796875,-4.362945556640625,36.720428466796875,Feature,good,good,good,0,0,good,2018-12-16T13:38:35+00:00,2,402,5,1,good,5,2,good,good,good,1,5,good,158,good,good,402,6,5,6,good,good,good,,good,good,,,,,,157,good,good,,,,,,,,,good
Polygon,-4.431610107421875,36.712188720703125,-4.431610107421875,36.71356201171875,-4.43023681640625,36.71356201171875,-4.43023681640625,36.712188720703125,-4.431610107421875,36.712188720703125,Feature,,,unhealthy-low,,6,good,2018-09-19T16:54:09+00:00,,408,,151,good,13,9,,,,,,,158,moderate,moderate,,15,1,,,good,moderate,good,good,good,6,moderate,good,good,9,7,good,good,15,moderate,1,13,151,moderate,unhealthy-low,408,good
Polygon,-4.44122314453125,36.70257568359375,-4.44122314453125,36.703948974609375,-4.439849853515625,36.703948974609375,-4.439849853515625,36.70257568359375,-4.44122314453125,36.70257568359375,Feature,,,unhealthy,,9,good,2018-04-27T08:14:04+00:00,,155,,154,good,19,12,,,,,,,158,unhealthy-low,moderate,,23,1,,,good,unhealthy-low,good,good,good,9,unhealthy-low,good,good,12,4,good,good,23,unhealthy-low,1,19,154,moderate,unhealthy,155,good
Polygon,-4.456329345703125,36.709442138671875,-4.456329345703125,36.7108154296875,-4.4549560546875,36.7108154296875,-4.4549560546875,36.709442138671875,-4.456329345703125,36.709442138671875,Feature,,,,,,,2018-02-14T05:52:47+00:00,,,,,,,,,,,,,,157,good,,,,,,,,,,good,good,,,,,,157,good,good,,,,,,,,,good
Polygon,-4.426116943359375,36.731414794921875,-4.426116943359375,36.7327880859375,-4.42474365234375,36.7327880859375,-4.42474365234375,36.731414794921875,-4.426116943359375,36.731414794921875,Feature,,,unhealthy,,13,good,2018-02-14T10:04:53+00:00,,216,,156,good,18,12,,,,,,,156,unhealthy-low,moderate,,21,3,,,good,unhealthy-low,good,,,13,unhealthy-low,good,good,12,,,,21,unhealthy-low,3,18,156,moderate,unhealthy,216,
Polygon,-4.437103271484375,36.712188720703125,-4.437103271484375,36.71356201171875,-4.43572998046875,36.71356201171875,-4.43572998046875,36.712188720703125,-4.437103271484375,36.712188720703125,Feature,,,,,,,2018-02-14T05:46:23+00:00,,,,,,,,,,,,,,153,good,,,,,,,,,,good,good,,,,,,153,good,good,,,,,,,,,good
Polygon,-4.41925048828125,36.72454833984375,-4.41925048828125,36.725921630859375,-4.417877197265625,36.725921630859375,-4.417877197265625,36.72454833984375,-4.41925048828125,36.72454833984375,Feature,good,good,unhealthy,0,9,good,2018-12-16T15:46:47+00:00,2,82,0,92,good,14,10,good,good,good,1,5,good,151,moderate,moderate,507,16,3,6,good,good,moderate,good,good,good,9,moderate,good,good,10,59,good,good,16,moderate,3,14,91,moderate,unhealthy,77,good
Polygon,-4.4384765625,36.71630859375,-4.4384765625,36.717681884765625,-4.437103271484375,36.717681884765625,-4.437103271484375,36.71630859375,-4.4384765625,36.71630859375,Feature,,,,,,,2018-11-14T07:24:02+00:00,,,,,,,,,,,,,,151,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,151,good,good,,,,,,,,,good
Polygon,-4.43572998046875,36.712188720703125,-4.43572998046875,36.71356201171875,-4.434356689453125,36.71356201171875,-4.434356689453125,36.712188720703125,-4.43572998046875,36.712188720703125,Feature,,,,,,,2018-02-14T05:46:02+00:00,,,,,,,,,,,,,,150,good,,,,,,,,,,good,good,,,,,,150,good,good,,,,,,,,,good
Polygon,-4.445343017578125,36.703948974609375,-4.445343017578125,36.705322265625,-4.4439697265625,36.705322265625,-4.4439697265625,36.703948974609375,-4.445343017578125,36.703948974609375,Feature,,,,,,,2018-02-27T15:27:12+00:00,,,,,,,,,,,,,,149,moderate,,,,,,,,,,moderate,moderate,,,,,,149,good,good,,,,,,,,,good
Polygon,-4.46868896484375,36.71630859375,-4.46868896484375,36.717681884765625,-4.467315673828125,36.717681884765625,-4.467315673828125,36.71630859375,-4.46868896484375,36.71630859375,Feature,,,,,,,2018-02-16T11:57:00+00:00,,,,,,,,,,,,,,148,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,148,good,good,,,,,,,,,good
Polygon,-4.449462890625,36.709442138671875,-4.449462890625,36.7108154296875,-4.448089599609375,36.7108154296875,-4.448089599609375,36.709442138671875,-4.449462890625,36.709442138671875,Feature,,,,,,,2018-02-13T05:50:58+00:00,,,,,,,,,,,,,,147,good,,,,,,,,,,good,good,,,,,,147,good,good,,,,,,,,,good
Polygon,-4.459075927734375,36.71905517578125,-4.459075927734375,36.720428466796875,-4.45770263671875,36.720428466796875,-4.45770263671875,36.71905517578125,-4.459075927734375,36.71905517578125,Feature,,,good,,0,unhealthy-low,2018-05-07T18:13:12+00:00,,6341,,1,good,0,0,,,,,,,146,unhealthy-low,good,,0,0,,,good,good,good,unhealthy-low,unhealthy-low,0,good,good,unhealthy-low,0,145,good,good,0,unhealthy-low,0,0,1,good,good,6341,good
Polygon,-4.434356689453125,36.71630859375,-4.434356689453125,36.717681884765625,-4.4329833984375,36.717681884765625,-4.4329833984375,36.71630859375,-4.434356689453125,36.71630859375,Feature,,,moderate,,2,good,2018-11-14T07:24:26+00:00,,54,,5,good,7,4,,,,,,,143,good,good,,8,0,,,good,good,good,unhealthy-low,unhealthy-low,2,good,good,good,4,138,good,good,8,good,0,7,5,good,moderate,54,good
Polygon,-4.450836181640625,36.71905517578125,-4.450836181640625,36.720428466796875,-4.449462890625,36.720428466796875,-4.449462890625,36.71905517578125,-4.450836181640625,36.71905517578125,Feature,,,unhealthy,,3,good,2018-03-02T11:06:44+00:00,,99,,23,good,18,12,,,,,,,143,unhealthy-low,moderate,,19,0,,,good,unhealthy-low,good,moderate,moderate,3,unhealthy-low,good,good,12,120,good,good,19,unhealthy-low,0,18,23,moderate,unhealthy,99,good
Polygon,-4.401397705078125,36.7218017578125,-4.401397705078125,36.723175048828125,-4.4000244140625,36.723175048828125,-4.4000244140625,36.7218017578125,-4.401397705078125,36.7218017578125,Feature,,,moderate,,10,good,2018-06-21T10:16:27+00:00,,41,,51,good,7,5,,,,,,,142,good,good,,8,2,,,good,good,good,unhealthy-high,unhealthy-high,10,good,good,good,5,91,good,good,8,good,2,7,51,good,moderate,41,good
Polygon,-4.427490234375,36.720428466796875,-4.427490234375,36.7218017578125,-4.426116943359375,36.7218017578125,-4.426116943359375,36.720428466796875,-4.427490234375,36.720428466796875,Feature,,,,,,,2018-11-14T15:21:38+00:00,,,,,,,,,,,,,,142,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,142,good,good,,,,,,,,,good
Polygon,-4.439849853515625,36.6998291015625,-4.439849853515625,36.701202392578125,-4.4384765625,36.701202392578125,-4.4384765625,36.6998291015625,-4.439849853515625,36.6998291015625,Feature,,,unhealthy,,8,good,2018-11-06T09:30:26+00:00,,132,,115,good,22,14,,,,,,,142,unhealthy-low,moderate,,27,1,,,good,unhealthy-low,good,good,good,8,unhealthy-low,good,good,14,27,good,good,27,unhealthy-low,1,22,115,moderate,unhealthy,132,good
Polygon,-4.39727783203125,36.725921630859375,-4.39727783203125,36.727294921875,-4.395904541015625,36.727294921875,-4.395904541015625,36.725921630859375,-4.39727783203125,36.725921630859375,Feature,,,moderate,,4,good,2018-01-12T12:50:15+00:00,,66,,141,good,5,3,,,,,,,141,good,good,,5,3,,,good,good,good,,,4,good,good,good,3,,,,5,good,3,5,141,good,moderate,66,
Polygon,-4.368438720703125,36.720428466796875,-4.368438720703125,36.7218017578125,-4.3670654296875,36.7218017578125,-4.3670654296875,36.720428466796875,-4.368438720703125,36.720428466796875,Feature,,,,,,,2018-02-12T16:05:18+00:00,,,,,,,,,,,,,,139,moderate,,,,,,,,,,good,moderate,,,,,,139,good,good,,,,,,,,,moderate
Polygon,-4.43572998046875,36.714935302734375,-4.43572998046875,36.71630859375,-4.434356689453125,36.71630859375,-4.434356689453125,36.714935302734375,-4.43572998046875,36.714935302734375,Feature,,,,,,,2018-09-19T16:52:33+00:00,,,,,,,,,,,,,,139,good,,,,,,,,,,good,good,,,,,,139,good,good,,,,,,,,,good
Polygon,-4.46319580078125,36.692962646484375,-4.46319580078125,36.6943359375,-4.461822509765625,36.6943359375,-4.461822509765625,36.692962646484375,-4.46319580078125,36.692962646484375,Feature,,,,,,,2018-04-27T11:58:19+00:00,,,,,,,,,,,,,,139,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,139,good,good,,,,,,,,,good
Polygon,-4.475555419921875,36.714935302734375,-4.475555419921875,36.71630859375,-4.47418212890625,36.71630859375,-4.47418212890625,36.714935302734375,-4.475555419921875,36.714935302734375,Feature,,,,,,,2018-02-16T11:54:36+00:00,,,,,,,,,,,,,,137,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,137,good,good,,,,,,,,,good
Polygon,-4.42474365234375,36.736907958984375,-4.42474365234375,36.73828125,-4.423370361328125,36.73828125,-4.423370361328125,36.736907958984375,-4.42474365234375,36.736907958984375,Feature,,,unhealthy,,18,good,2018-11-10T13:54:36+00:00,,335,,104,good,19,13,,,,,,,135,unhealthy-low,moderate,,22,5,,,good,unhealthy-low,good,good,moderate,18,unhealthy-low,good,good,13,31,good,good,22,unhealthy-low,5,19,104,moderate,unhealthy,335,moderate
Polygon,-4.4549560546875,36.71905517578125,-4.4549560546875,36.720428466796875,-4.453582763671875,36.720428466796875,-4.453582763671875,36.71905517578125,-4.4549560546875,36.71905517578125,Feature,,,good,,0,unhealthy-low,2018-05-07T18:12:36+00:00,,6316,,1,good,0,0,,,,,,,135,unhealthy-low,good,,0,0,,,good,good,good,good,good,0,good,good,unhealthy-low,0,134,good,good,0,unhealthy-low,0,0,1,good,good,6316,good
Polygon,-4.44671630859375,36.70257568359375,-4.44671630859375,36.703948974609375,-4.445343017578125,36.703948974609375,-4.445343017578125,36.70257568359375,-4.44671630859375,36.70257568359375,Feature,,,unhealthy,,13,good,2018-09-19T16:58:18+00:00,,38,,6,good,17,12,,,,,,,134,unhealthy-low,moderate,,21,1,,,good,unhealthy-low,good,good,good,13,unhealthy-low,good,good,12,128,good,good,21,unhealthy-low,1,17,6,moderate,unhealthy,38,good
Polygon,-4.426116943359375,36.717681884765625,-4.426116943359375,36.71905517578125,-4.42474365234375,36.71905517578125,-4.42474365234375,36.717681884765625,-4.426116943359375,36.717681884765625,Feature,,,good,,8,good,2018-11-14T07:29:53+00:00,,147,,2,good,3,1,,,,,,,131,good,good,,4,7,,,good,good,good,unhealthy,unhealthy,8,good,good,good,1,129,good,good,4,good,7,3,2,good,good,147,good
Polygon,-4.43023681640625,36.7108154296875,-4.43023681640625,36.712188720703125,-4.428863525390625,36.712188720703125,-4.428863525390625,36.7108154296875,-4.43023681640625,36.7108154296875,Feature,,,unhealthy,,10,good,2018-11-06T09:36:35+00:00,,147,,103,good,16,10,,,,,,,131,unhealthy-low,moderate,,20,3,,,good,unhealthy-low,good,good,good,10,unhealthy-low,good,good,10,28,good,good,20,unhealthy-low,3,16,103,moderate,unhealthy,147,good
Polygon,-4.45770263671875,36.71905517578125,-4.45770263671875,36.720428466796875,-4.456329345703125,36.720428466796875,-4.456329345703125,36.71905517578125,-4.45770263671875,36.71905517578125,Feature,unhealthy-high,unhealthy-high,unhealthy-high,0,0,unhealthy-high,2018-12-13T18:31:30+00:00,307,18744,0,1,good,83,307,unhealthy-high,unhealthy-high,unhealthy-high,1,83,good,131,unhealthy-high,unhealthy-high,18744,155,0,155,good,good,unhealthy-high,,moderate,moderate,,,,,,130,good,good,,,,,,,,,good
Polygon,-4.4549560546875,36.69708251953125,-4.4549560546875,36.698455810546875,-4.453582763671875,36.698455810546875,-4.453582763671875,36.69708251953125,-4.4549560546875,36.69708251953125,Feature,,,unhealthy-low,,0,good,2018-02-22T19:52:13+00:00,,0,,3,good,9,6,,,,,,,131,good,good,,11,0,,,good,good,good,unhealthy-high,unhealthy-high,0,good,good,good,6,128,good,good,11,good,0,9,3,good,unhealthy-low,0,good
Polygon,-4.464569091796875,36.717681884765625,-4.464569091796875,36.71905517578125,-4.46319580078125,36.71905517578125,-4.46319580078125,36.717681884765625,-4.464569091796875,36.717681884765625,Feature,,,,,,,2018-02-16T11:59:00+00:00,,,,,,,,,,,,,,130,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,130,good,good,,,,,,,,,good
Polygon,-4.459075927734375,36.69708251953125,-4.459075927734375,36.698455810546875,-4.45770263671875,36.698455810546875,-4.45770263671875,36.69708251953125,-4.459075927734375,36.69708251953125,Feature,,,,,,,2018-10-26T13:46:01+00:00,,,,,,,,,,,,,,130,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,130,good,good,,,,,,,,,good
Polygon,-4.406890869140625,36.73553466796875,-4.406890869140625,36.736907958984375,-4.405517578125,36.736907958984375,-4.405517578125,36.73553466796875,-4.406890869140625,36.73553466796875,Feature,,,,,,,2018-10-06T12:14:27+00:00,,,,,,,,,,,,,,129,unhealthy-high,,,,,,,,,,good,unhealthy-high,,,,,,129,unhealthy-high,good,,,,,,,,,unhealthy
Polygon,-4.470062255859375,36.71630859375,-4.470062255859375,36.717681884765625,-4.46868896484375,36.717681884765625,-4.46868896484375,36.71630859375,-4.470062255859375,36.71630859375,Feature,,,,,,,2018-02-16T11:56:30+00:00,,,,,,,,,,,,,,129,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,129,good,good,,,,,,,,,good
Polygon,-4.431610107421875,36.7108154296875,-4.431610107421875,36.712188720703125,-4.43023681640625,36.712188720703125,-4.43023681640625,36.7108154296875,-4.431610107421875,36.7108154296875,Feature,,,unhealthy,,11,good,2018-09-19T17:19:33+00:00,,216,,113,good,17,11,,,,,,,127,unhealthy-low,moderate,,20,2,,,good,unhealthy-low,good,good,good,11,unhealthy-low,good,good,11,14,good,good,20,unhealthy-low,2,17,113,moderate,unhealthy,216,good
Polygon,-4.39727783203125,36.727294921875,-4.39727783203125,36.728668212890625,-4.395904541015625,36.728668212890625,-4.395904541015625,36.727294921875,-4.39727783203125,36.727294921875,Feature,,,moderate,,4,good,2018-01-12T12:49:03+00:00,,62,,126,good,7,5,,,,,,,126,good,good,,8,2,,,good,good,good,,,4,good,good,good,5,,,,8,good,2,7,126,good,moderate,62,
Polygon,-4.4329833984375,36.720428466796875,-4.4329833984375,36.7218017578125,-4.431610107421875,36.7218017578125,-4.431610107421875,36.720428466796875,-4.4329833984375,36.720428466796875,Feature,,,unhealthy-low,,2,good,2018-08-02T12:43:52+00:00,,174,,124,good,13,9,,,,,,,124,moderate,good,,14,2,,,good,moderate,good,,,2,moderate,good,good,9,,,,14,moderate,2,13,124,good,unhealthy-low,174,
Polygon,-4.3670654296875,36.7218017578125,-4.3670654296875,36.723175048828125,-4.365692138671875,36.723175048828125,-4.365692138671875,36.7218017578125,-4.3670654296875,36.7218017578125,Feature,,,,,,,2018-03-15T21:36:55+00:00,,,,,,,,,,,,,,123,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,123,good,good,,,,,,,,,good
Polygon,-4.456329345703125,36.71905517578125,-4.456329345703125,36.720428466796875,-4.4549560546875,36.720428466796875,-4.4549560546875,36.71905517578125,-4.456329345703125,36.71905517578125,Feature,,,good,,0,moderate,2018-05-07T18:04:15+00:00,,5553,,1,good,2,2,,,,,,,123,moderate,good,,2,1,,,good,good,good,good,good,0,good,good,moderate,2,122,good,good,2,moderate,1,2,1,good,good,5553,good
Polygon,-4.46868896484375,36.717681884765625,-4.46868896484375,36.71905517578125,-4.467315673828125,36.71905517578125,-4.467315673828125,36.717681884765625,-4.46868896484375,36.717681884765625,Feature,,,,,,,2018-02-16T11:57:30+00:00,,,,,,,,,,,,,,123,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,123,good,good,,,,,,,,,good
Polygon,-4.423370361328125,36.73004150390625,-4.423370361328125,36.731414794921875,-4.4219970703125,36.731414794921875,-4.4219970703125,36.73004150390625,-4.423370361328125,36.73004150390625,Feature,good,unhealthy,unhealthy,0,9,good,2018-12-16T16:08:15+00:00,13,245,0,121,good,18,12,moderate,unhealthy-low,unhealthy-low,1,20,good,121,unhealthy-low,moderate,175,21,3,22,good,good,unhealthy-low,good,,,9,unhealthy-low,good,good,12,,,,21,unhealthy-low,3,18,120,moderate,unhealthy,246,
Polygon,-4.3670654296875,36.72454833984375,-4.3670654296875,36.725921630859375,-4.365692138671875,36.725921630859375,-4.365692138671875,36.72454833984375,-4.3670654296875,36.72454833984375,Feature,,,,,,,2018-03-15T21:36:25+00:00,,,,,,,,,,,,,,119,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,119,good,good,,,,,,,,,good
Polygon,-4.47418212890625,36.714935302734375,-4.47418212890625,36.71630859375,-4.472808837890625,36.71630859375,-4.472808837890625,36.714935302734375,-4.47418212890625,36.714935302734375,Feature,,,,,,,2018-02-16T11:55:06+00:00,,,,,,,,,,,,,,119,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,119,good,good,,,,,,,,,good
Polygon,-4.449462890625,36.71356201171875,-4.449462890625,36.714935302734375,-4.448089599609375,36.714935302734375,-4.448089599609375,36.71356201171875,-4.449462890625,36.71356201171875,Feature,,,,,,,2018-11-14T07:21:29+00:00,,,,,,,,,,,,,,117,good,,,,,,,,,,good,good,,,,,,117,good,good,,,,,,,,,good
Polygon,-4.431610107421875,36.71905517578125,-4.431610107421875,36.720428466796875,-4.43023681640625,36.720428466796875,-4.43023681640625,36.71905517578125,-4.431610107421875,36.71905517578125,Feature,,,unhealthy-low,,7,good,2018-07-27T08:56:24+00:00,,75,,116,good,11,8,,,,,,,116,moderate,good,,12,5,,,good,moderate,good,,,7,moderate,good,good,8,,,,12,moderate,5,11,116,good,unhealthy-low,75,
Polygon,-4.3670654296875,36.723175048828125,-4.3670654296875,36.72454833984375,-4.365692138671875,36.72454833984375,-4.365692138671875,36.723175048828125,-4.3670654296875,36.723175048828125,Feature,,,,,,,2018-03-15T21:36:37+00:00,,,,,,,,,,,,,,114,unhealthy,,,,,,,,,,unhealthy,unhealthy,,,,,,114,good,good,,,,,,,,,good
Polygon,-4.467315673828125,36.717681884765625,-4.467315673828125,36.71905517578125,-4.4659423828125,36.71905517578125,-4.4659423828125,36.717681884765625,-4.467315673828125,36.717681884765625,Feature,,,,,,,2018-02-16T11:58:00+00:00,,,,,,,,,,,,,,114,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,114,good,good,,,,,,,,,good
