geometry/type,geometry/coordinates/0/0/0,geometry/coordinates/0/0/1,geometry/coordinates/0/1/0,geometry/coordinates/0/1/1,geometry/coordinates/0/2/0,geometry/coordinates/0/2/1,geometry/coordinates/0/3/0,geometry/coordinates/0/3/1,geometry/coordinates/0/4/0,geometry/coordinates/0/4/1,type,properties/co_F_level,properties/pm1_F_level,properties/pm1_level,properties/no2_F,properties/no2,properties/co_level,properties/last_measure,properties/pm1_F,properties/co,properties/o3_F,properties/count_SMAQ,properties/o3_level,properties/pm25,properties/pm1,properties/pm10_F_level,properties/iuca.level_F_global,properties/pm25_F_level,properties/count_F,properties/pm25_F,properties/no2_F_level,properties/count,properties/iuca.level_global,properties/pm10_level,properties/co_F,properties/pm10,properties/o3,properties/pm10_F,properties/o3_F_level,properties/no2_level,properties/pm25_level,properties/no2_M_level,properties/resp_APP_level,properties/iuca.level_APP_global,properties/no2_M,properties/pm25_M_level,properties/o3_M_level,properties/co_M_level,properties/pm1_M,properties/count_APP,properties/iaq_APP_level,properties/pm10_APP_level,properties/pm10_M,properties/iuca.level_M_global,properties/o3_M,properties/pm25_M,properties/count_M,properties/pm10_M_level,properties/pm1_M_level,properties/co_M,properties/co_APP_level
Polygon,-4.41650390625,36.73004150390625,-4.41650390625,36.731414794921875,-4.415130615234375,36.731414794921875,-4.415130615234375,36.73004150390625,-4.41650390625,36.73004150390625,Feature,moderate,unhealthy-high,unhealthy-high,127,124,moderate,2018-12-16T15:53:24+00:00,53,3451,7,841,good,295,52,unhealthy-low,unhealthy-high,unhealthy-high,817,304,moderate,7819,unhealthy-high,unhealthy-low,3549,41,7,41,good,moderate,unhealthy-high,good,moderate,unhealthy-high,4,unhealthy,good,good,18,6978,unhealthy-low,good,27,unhealthy,8,25,24,moderate,unhealthy-high,105,unhealthy-high
Polygon,-4.42474365234375,36.7218017578125,-4.42474365234375,36.723175048828125,-4.423370361328125,36.723175048828125,-4.423370361328125,36.7218017578125,-4.42474365234375,36.7218017578125,Feature,,,,,,,2018-11-14T15:09:26+00:00,,,,,,,,,,,,,,7571,good,,,,,,,,,,good,good,,,,,,7571,good,good,,,,,,,,,good
Polygon,-4.5263671875,36.727294921875,-4.5263671875,36.728668212890625,-4.524993896484375,36.728668212890625,-4.524993896484375,36.727294921875,-4.5263671875,36.727294921875,Feature,good,unhealthy-high,unhealthy-high,9,9,good,2018-12-12T19:39:31+00:00,24,999,105,6742,moderate,148,24,unhealthy,unhealthy-high,unhealthy-high,6742,148,good,6742,unhealthy-high,unhealthy,999,52,105,52,moderate,good,unhealthy-high,,,,,,,,,,,,,,,,,,,,
Polygon,-4.439849853515625,36.71630859375,-4.439849853515625,36.717681884765625,-4.4384765625,36.717681884765625,-4.4384765625,36.71630859375,-4.439849853515625,36.71630859375,Feature,,,,,,,2018-10-10T07:06:01+00:00,,,,,,,,,,,,,,6002,good,,,,,,,,,,good,good,,,,,,6002,good,good,,,,,,,,,good
Polygon,-4.464569091796875,36.6943359375,-4.464569091796875,36.695709228515625,-4.46319580078125,36.695709228515625,-4.46319580078125,36.6943359375,-4.464569091796875,36.6943359375,Feature,,,,,,,2018-05-03T06:41:29+00:00,,,,,,,,,,,,,,5438,good,,,,,,,,,,good,good,,,,,,5438,good,good,,,,,,,,,good
Polygon,-4.445343017578125,36.701202392578125,-4.445343017578125,36.70257568359375,-4.4439697265625,36.70257568359375,-4.4439697265625,36.701202392578125,-4.445343017578125,36.701202392578125,Feature,,,unhealthy,,5,good,2018-09-18T16:22:25+00:00,,78,,5359,good,17,11,,,,,,,5364,unhealthy-low,moderate,,21,1,,,good,unhealthy-low,good,good,good,5,unhealthy-low,good,good,11,5,good,good,21,unhealthy-low,1,17,5359,moderate,unhealthy,78,good
Polygon,-4.4384765625,36.706695556640625,-4.4384765625,36.70806884765625,-4.437103271484375,36.70806884765625,-4.437103271484375,36.706695556640625,-4.4384765625,36.706695556640625,Feature,,,unhealthy,,8,good,2018-04-27T11:56:56+00:00,,33,,5323,good,17,11,,,,,,,5323,unhealthy-low,moderate,,22,4,,,good,unhealthy-low,good,,,8,unhealthy-low,good,good,11,,,,22,unhealthy-low,4,17,5323,moderate,unhealthy,33,
Polygon,-4.467315673828125,36.705322265625,-4.467315673828125,36.706695556640625,-4.4659423828125,36.706695556640625,-4.4659423828125,36.705322265625,-4.467315673828125,36.705322265625,Feature,,,,,,,2018-02-16T05:59:40+00:00,,,,,,,,,,,,,,5098,good,,,,,,,,,,good,good,,,,,,5098,good,good,,,,,,,,,good
Polygon,-4.44122314453125,36.71905517578125,-4.44122314453125,36.720428466796875,-4.439849853515625,36.720428466796875,-4.439849853515625,36.71905517578125,-4.44122314453125,36.71905517578125,Feature,,,unhealthy,,2,good,2018-08-02T09:30:39+00:00,,154,,5061,good,15,10,,,,,,,5061,unhealthy-low,moderate,,17,1,,,good,unhealthy-low,good,,,2,unhealthy-low,good,good,10,,,,17,unhealthy-low,1,15,5061,moderate,unhealthy,154,
Polygon,-4.42474365234375,36.720428466796875,-4.42474365234375,36.7218017578125,-4.423370361328125,36.7218017578125,-4.423370361328125,36.720428466796875,-4.42474365234375,36.720428466796875,Feature,,,,,,,2018-11-14T15:15:00+00:00,,,,,,,,,,,,,,4192,unhealthy-low,,,,,,,,,,unhealthy-low,unhealthy-low,,,,,,4192,good,good,,,,,,,,,good
