stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
257,257,Avda. Ramón y Cajal (Cristo Rey),36.738687,-4.424136,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=257
258,258,Avda. Jorge Silvela,36.735161,-4.425061,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=258
259,259,Paseo de Martiricos,36.729572,-4.427085,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=259
263,263,Avda. Jacinto Benavente,36.748891,-4.423778,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=263
264,264,Cmno. Casabermeja (Polideportivo),36.750864,-4.422962,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=264
265,265,Don Juan de Austria,36.726348,-4.428811,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=265
266,266,Jaboneros,36.722374,-4.429083,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=266
301,301,Paseo del Parque (Plaza del General Torrijos),36.72041,-4.413303,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=301
302,302,Paseo del Parque,36.719475,-4.416468,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=302
303,303,Paseo del Parque (Plaza Marina),36.718738,-4.419112,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=303
306,306,Cuarteles (Perchel),36.715259,-4.426784,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=306
307,307,Cuarteles (Eslava),36.712782,-4.429303,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=307
308,308,Héroe de Sostoa (Estación),36.711134,-4.431483,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=308
309,309,Héroe de Sostoa (La Isla),36.708742,-4.434483,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=309
310,310,Héroe de Sostoa (Jardín de la Abadía),36.706651,-4.437131,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=310
312,312,Héroe de Sostoa (Obras Públicas),36.704844,-4.439438,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=312
313,313,Héroe de Sostoa (Bda. Girón),36.702294,-4.442713,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=313
314,314,Avda. de Velázquez (Bda. El Torcal),36.700244,-4.445392,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=314
315,315,Avda. de Velázquez (Vistafranca),36.697485,-4.448929,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=315
316,316,Avda. de Velázquez (Bda. La Luz),36.696001,-4.45078,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=316
317,317,Avda. de Velázquez (Bda. Belén),36.69366,-4.453795,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=317
318,318,Avda. de los Guindos,36.692971,-4.453556,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=318
319,319,Camino del Pato,36.691281,-4.450364,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=319
320,320,Avda. Gregorio Diego,36.690103,-4.451798,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=320
322,322,Alameda Principal (Sur),36.717797,-4.421705,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=322
351,351,Puerta Blanca (Gregorio Diego),36.691049,-4.453239,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=351
352,352,Avda. de Gregorio Diego,36.69185,-4.45487,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=352
353,353,Avda. de Velázquez (Los Guindos),36.694047,-4.452882,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=353
354,354,Avda. de Velázquez (Bda. La Paz),36.695989,-4.450407,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=354
355,355,Avda. de Velázquez (Vistafranca),36.69807,-4.447759,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=355
356,356,Avda. de Velázquez (El Torcal),36.700157,-4.445117,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=356
357,357,Avda. de la Paloma (Bda. Girón),36.700939,-4.442686,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=357
360,360,Ayala (Jardín de la Abadía),36.705757,-4.436114,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=360
361,361,Ayala (Iglesia),36.708116,-4.43346,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=361
362,362,Ayala (Los Arcos),36.709716,-4.431534,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=362
364,364,Salitre (Pasillo del Matadero),36.714191,-4.426588,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=364
366,366,Paseo del Parque (Plaza de la Marina),36.718607,-4.418791,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=366
367,367,Paseo del Parque,36.719366,-4.416063,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=367
368,368,Salitre (Jacinto Verdaguer),36.711807,-4.428982,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=368
370,370,Alameda Principal (Norte),36.717793,-4.422324,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=370
401,401,Paseo del Parque (Plaza del General Torrijos),36.720121,-4.41332,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=401
402,402,Plaza de Toros Vieja,36.712418,-4.4273,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=402
403,403,Av. Explanada de la Estación (Estacion FFCC),36.712531,-4.430785,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=403
406,406,Paseo de los Tilos (Calatrava),36.713028,-4.437789,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=406
407,407,Paseo de los Tilos (Cruz de Humilladero),36.712172,-4.4401,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=407
408,408,Av. Ortega y Gasset (Cruz de Humilladero),36.712117,-4.442166,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=408
409,409,Avda. Ortega y Gasset (Santa Julia),36.711582,-4.44504,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=409
410,410,Avda. Ortega y Gasset (Bda. El Carmen),36.711032,-4.448095,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=410
411,411,Corregidor Antonio de Bobadilla (Instituto),36.712449,-4.449292,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=411
412,412,Corregidor Francisco de Molina (Corazones),36.713048,-4.451274,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=412
414,414,Avda. Ortega y Gasset (Tiro de Pichón),36.710063,-4.453221,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=414
415,415,Avda. Ortega y Gasset (Santa Cristina),36.709404,-4.456147,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=415
416,416,Avda. de Andalucía,36.716645,-4.428965,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=416
417,417,Callejones del Perchel (Mercado),36.714982,-4.430447,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=417
418,418,Max Estrella (Palacio de Ferias),36.708509,-4.46193,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=418
419,419,Mefistofeles (Cortijo Alto),36.710397,-4.462775,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=419
420,420,Gregorio Prieto (Ciudad de la Justicia),36.71352,-4.462763,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=420
421,421,Louis Pasteur (Manuel Dominguez),36.717912,-4.464869,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=421
423,423,Av Gregorio Prieto (Pasteur),36.717634,-4.46397,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=423
425,425,Alameda Principal (Norte),36.717542,-4.423234,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=425
452,452,Avda. Ortega y Gasset (Tiro de Pichón),36.710059,-4.45228,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=452
453,453,Avda. Ortega y Gasset (La Rosa),36.710348,-4.450786,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=453
454,454,Avda. Ortega y Gasset,36.710766,-4.448463,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=454
455,455,Avda. Ortega y Gasset (Bda. El Carmen),36.710973,-4.447045,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=455
456,456,Avda. Ortega y Gasset (Santa Julia),36.711508,-4.444248,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=456
457,457,Cruz de Humilladero,36.711742,-4.440938,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=457
458,458,La Unión (Sta Marta),36.710877,-4.439538,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=458
460,460,La Unión (Edisson),36.711968,-4.436162,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=460
462,462,Avda. Antonio Machado (Nuevo Puente del Carmen),36.71179,-4.425247,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=462
463,463,Avda. Ortega y Gasset (Palacio de Ferias),36.707368,-4.460363,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=463
464,464,Avda. Ortega y Gasset (Sta. Cristina),36.70954,-4.454615,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=464
466,466,Corregidor Francisco de Molina (Corazones),36.713056,-4.450405,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=466
468,468,Paseo de los Tilos (Plaza de la Solidaridad),36.713329,-4.433936,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=468
469,469,Callejones del Perchel (Mercado),36.715269,-4.429766,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=469
470,470,Alameda Principal (Sur),36.717481,-4.422859,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=470
472,472,Louis Pasteur (Manuel Dominguez),36.71777,-4.464553,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=472
473,473,Gregorio Prieto (Ciudad de la Justicia),36.713667,-4.463148,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=473
474,474,Mefistofeles (Cortijo Alto),36.709895,-4.463113,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=474
475,475,Max Estrella (Cortijo Alto),36.70843,-4.462015,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=475
476,476,Gregorio Prieto (Franz Kafka),36.716038,-4.46363,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=476
477,477,Avda. Ortega y Gasset (La Rosa),36.71053,-4.451025,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=477
501,501,Av. Explanada de la Estación (Estación FFCC),36.712162,-4.431095,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=501
502,502,Plaza de Arriola,36.718581,-4.424636,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=502
503,503,Carretería (Plaza Nueva),36.721657,-4.424955,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=503
505,505,Carretería (Álamos),36.724089,-4.421551,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=505
506,506,Álamos,36.723534,-4.419179,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=506
509,509,Ferrándiz,36.726934,-4.413565,http://www.emtmalaga.es/emt-mobile/informacionParada.html?codParada=509
